City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City_weather
239,Mastic Beach,US,2023-01-30 01:57:47,40.7668,-72.8521,47.53,83,100,1.99,Clouds
240,Alofi,NU,2023-01-30 01:53:59,-19.0595,-169.9187,82.29,78,85,6.91,Clouds
241,Adre,TD,2023-01-30 01:57:49,13.4667,22.2,72.21,15,42,7.56,Clouds
242,Kuryk,KZ,2023-01-30 01:57:49,43.2,51.65,29.84,50,14,10.33,Clouds
243,Mayo,US,2023-01-30 01:57:50,38.8876,-76.5119,47.5,82,40,5.75,Clouds
244,Dalvik,IS,2023-01-30 01:57:51,65.9702,-18.5286,28.33,90,97,5.99,Snow
245,Khanu Woralaksaburi,TH,2023-01-30 01:57:51,16.0617,99.8606,69.12,38,86,4.83,Clouds
246,Tukrah,LY,2023-01-30 01:57:52,32.5341,20.5791,53.04,75,15,12.33,Rain
247,Bugiri,UG,2023-01-30 01:57:53,0.5714,33.7417,69.01,64,74,4.21,Clouds
248,Wawa,NG,2023-01-30 01:57:53,9.9022,4.4192,81.81,22,97,5.86,Clouds
249,Tilichiki,RU,2023-01-30 01:57:54,60.4667,166.1,29.62,87,98,21.14,Clouds
250,Grand Forks,US,2023-01-30 01:57:55,47.9417,-97.4337,-13.22,95,88,5.75,Clouds
251,Manokwari,ID,2023-01-30 01:57:55,-0.8667,134.0833,81.25,77,100,6.42,Clouds
252,Killin,US,2023-01-30 01:57:56,33.6123,-91.7412,60.89,87,100,0.0,Rain
253,Muros,ES,2023-01-30 01:57:57,42.7762,-9.0603,42.1,77,84,9.91,Clouds
254,Petropavlovsk-Kamchatskiy,RU,2023-01-30 01:57:58,53.0452,158.6483,34.39,48,75,20.13,Clouds
255,Nome,US,2023-01-30 01:57:58,64.5011,-165.4064,32.16,93,100,23.02,Snow
256,Marsa Matruh,EG,2023-01-30 01:57:59,31.3525,27.2453,50.2,76,20,0.0,Clouds
257,Mapiripan,CO,2023-01-30 01:58:00,2.8892,-72.1256,76.57,48,13,5.64,Clouds
258,Sol-Iletsk,RU,2023-01-30 01:58:01,51.1631,54.9918,4.32,99,100,4.85,Clouds
259,Flinders,AU,2023-01-30 01:58:01,-34.5833,150.8552,77.05,90,100,7.49,Rain
260,Poum,NC,2023-01-30 01:58:02,-20.2333,164.0167,79.86,70,5,13.91,Clear
261,Dunkwa,GH,2023-01-30 01:58:03,5.9656,-1.78,74.89,91,65,1.88,Clouds
262,Lata,PT,2023-01-30 01:58:03,40.1629,-8.3327,39.92,77,87,3.91,Clouds
263,Riyadh,SA,2023-01-30 01:55:14,24.6877,46.7219,53.74,45,4,5.21,Clear
264,Lagoa,PT,2023-01-30 01:58:05,39.05,-27.9833,57.94,72,100,14.03,Clouds
265,Tura,IN,2023-01-30 01:58:06,25.5198,90.2201,65.32,53,4,1.66,Clear
